"","X","song","mfcc.1","mfcc.2","mfcc.3","mfcc.4","mfcc.5","mfcc.6","mfcc.7","mfcc.8","mfcc.9","mfcc.10","mfcc.11","mfcc.12","Genre"
"2135",350,"61.mp3",127.6125387903,18.9399019591571,0.554222903171218,5.10460653152807,7.59526985704912,9.2582572492231,-2.06843935501583,8.4127823364787,-6.58264492646136,4.0846210908875,-7.64160518110401,8.74466556339393,"electronic"
"2136",351,"61.mp3",147.403264701543,20.5048265756709,-11.1366764034015,9.61390388900364,-4.14652009014809,8.70901544703709,-4.89860581734557,-0.418510901216521,-5.70687976327477,3.52162410093366,-4.44168738015946,7.5800677201314,"electronic"
"2137",352,"61.mp3",153.877333677222,19.1094291737067,-12.8944476536957,11.2726178513691,-6.53071464860003,10.3748334151015,-8.64076326783407,0.805199731283609,-5.83995821213578,4.85357937848318,-3.69019417180891,5.8449122731271,"electronic"
"2138",353,"61.mp3",158.577146118852,18.1819862711165,-14.1500376359681,12.0749136623012,-8.62052998293214,10.4316904682201,-10.996374070264,3.61559432921215,-5.58960176140612,6.27119451537756,-4.10518033209274,4.48263400681136,"electronic"
"2139",354,"61.mp3",169.38205955495,4.08107121077445,-7.84503056768401,16.5705657774189,-14.9887495310061,18.2457572029066,-17.4327111142819,17.1392357305373,-19.6313710730468,18.5931553942429,-14.6706226266015,12.8515239262743,"electronic"
"2140",355,"62.mp3",127.102705807302,18.9488312372348,3.98525005679884,1.01930909225476,-5.20708737496993,3.60158848333274,-4.63005650533904,3.46893217659994,-11.048080077008,4.74040624952509,-2.83853680090861,4.72006279964444,"electronic"
"2141",356,"62.mp3",128.430647082027,20.0951746651718,2.72215877966547,-1.890342749145,-5.29275610878327,5.33001202037638,-6.54747575773521,0.555058932897098,-10.596345165436,4.31639525936816,-3.98243391966874,5.52018214955578,"electronic"
"2142",357,"62.mp3",163.92895879232,21.486767216586,-17.4143382807798,6.03596914148208,-12.4368215328939,8.33208894054116,-9.05314665177941,1.48367768989516,-10.8387514671037,3.38282462322821,-5.98999499051302,3.34104587049644,"electronic"
"2143",358,"62.mp3",153.171608800455,15.4573674290684,-12.069889797678,18.8779342286012,-2.88941859466828,11.2213508356987,-7.71563738860241,7.37873389991458,3.52668777403889,3.83565866037856,-13.5215416810146,11.4300093090943,"electronic"
"2144",359,"62.mp3",147.311808046952,14.392609906173,-6.28843518112372,20.8454483746668,1.07705405224666,8.93857165053615,-9.29181579357707,8.15073742439488,3.53856288819072,6.79854114087319,-15.6487792511609,13.8556335745727,"electronic"
